product_content_id,product_content_name,category_id,category_name,subcategory_name,business_unit_id,business_unit_name,color,price,create_date,update_date
6346910,Beyazlatıcı Leke Karşıtı Spf 15 Bakım Aklık Kremi 50 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,8.9414,2021-02-17 03:40:14,2021-02-17 03:40:14
394901,Kızarıklık Kaşıtı Onarıcı Bakım Kremi 40 ml 8699292991404,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,29.54101,2021-02-17 22:40:18,2021-02-17 22:40:18
31155964,Aqua Glow Super Concentrate 50 ml Nemlendirici Jel,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,70.8434,2021-02-19 13:02:18,2021-02-19 13:02:18
39648501,"Leke Karşıtı, Besleyici, Arındırıcı Ve Cilt Tonu Eşitleyici Yüz Kremi 50 Ml / Aclara Face Cream",615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,55.52265499999999,2021-02-16 13:20:30,2021-02-16 13:20:30
81997214,Aqua Sensatıon Canlandırıcı Bakım Kremi 50 Ml & Detox Güzellik Uykusu Maskesi - Urban Skin 50 Ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,20.400147999999998,2021-02-17 22:40:18,2021-02-17 22:40:18
31651672,%99 Aloe Vera Lip Stick Renkli - Pembe,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,3.3599029999999996,2021-02-19 10:03:14,2021-02-19 10:03:14
2765033,Propolis Barrier Cream 30g,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,22.542644999999997,2021-02-14 15:00:15,2021-02-14 15:00:15
132318,Sebium Hydra Cream 40ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,30.043104,2021-02-14 23:41:20,2021-02-14 23:41:20
85499,Hassas ve Karma Ciltler için Nemlendirici Krem - Hydrance Optimale Uv Legere 40 ml 3282779206310,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,69.776561,2021-02-16 12:20:13,2021-02-16 13:02:04
2174490,Rich Ultra Moisturizing Face Cream 40 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,36.969249999999995,2021-02-20 05:40:17,2021-02-20 05:40:17
39074841,Dr. C. Tuna At Kestanesi Masaj Jeli 500,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,13.580611,2021-02-18 12:40:15,2021-02-18 12:40:15
72503073,Antishadow Mavi Kantaron Gözaltı Morluk Kremi 15 Ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,24.069560999999997,2021-02-17 15:00:16,2021-02-17 15:00:16
51018215,Cilt Hydro Booster Nemlendirici Jel Krem Yoğun Bakım Etkili 50 Ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,8.219209999999999,2021-02-17 01:00:15,2021-02-17 01:00:15
70325304,Yogun Nemlendırıcı,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,9.76676,2021-02-19 06:00:15,2021-02-19 06:00:15
85061,Sebium Global 30 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,34.01171,2021-02-15 16:00:37,2021-02-15 16:00:37
52533813,La Roche-posay Effaclar Micro Peeling Gel 400ml | Yüz Ve Vücut Temizleme Jeli,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,45.53505,2021-02-16 12:20:13,2021-02-16 13:02:04
31650614,Midnight Blue Calming Cream - Kızarıklık Yatıştırıcı Krem 30 ml,615,Nemlendirme & Bakım,Nemlendirme & Bakım,100172,Cilt Bakım,UNKNOWN,68.40171,2021-02-17 02:20:13,2021-02-17 02:20:13
